avg_Employee_Salary_ok,none_Call_Center_Region_nk,"none_Employee_Name_nk"
102540.00000000,WEST,"Baton Rouge Alumnae"
102542.00000000,EAST,"G.P Pandey"
102605.00000000,WEST,"Charles A.W. Adams"
102623.00000000,EAST,"Linda Arce"
102752.00000000,WEST,"Collins, Babs"
102835.00000000,EAST,"Philippe Sauvageau"
102914.00000000,EAST,"Eric Landry"
102923.00000000,CENTRAL,"Alok Kapoor"
102973.00000000,WEST,"Peacock, Margaret"
103281.00000000,CENTRAL,"Sharp, Mary Jane"
103324.00000000,WEST,"MacCallum, Joan"
103442.00000000,EAST,"Suzanne Lafrenière"
103561.00000000,WEST,"Galen Kountz"
103600.00000000,EAST,"Michael J. Jacobs"
103617.00000000,EAST,"Bob Pennefather"
103619.00000000,WEST,"Rudisill, Martha"
103790.00000000,WEST,"Eric Jones"
103864.00000000,WEST,"Clayton, Nancy"
103882.00000000,CENTRAL,"Faris, Marilyn"
103907.00000000,EAST,"Colleen Hurwitz"
104186.00000000,CENTRAL,"Gerardo Colmenar"
104224.00000000,WEST,"Carpenter, Jill"
104287.00000000,CENTRAL,"Stevenson, Carol"
104362.00000000,EAST,"Rosenzweig, Loren"
104406.00000000,CENTRAL,"Adam Haberlach"
104452.00000000,EAST,"Ellis, Elaine"
104509.00000000,EAST,"Matthew Ruzicka"
104569.00000000,EAST,"Pradeep S Mehta"
104591.00000000,EAST,"Kathryn Blackmer-Reyes"
104677.00000000,CENTRAL,"Purkey, Jan"
104832.00000000,WEST,"Jones, Melody"
104897.00000000,EAST,"Ransbury, Wendy"
104913.00000000,WEST,"Daniel Champ"
