TEMP_Average__Margin__BGGJAIHIBF__A_,TEMP_Average__Margin__DFHEEHHCA__A_,none_Customer_Name_nk
1986.6299999999999,24673.439999999995,Jas O'Carroll
5867.249999999998,34265.78999999999,Jane Waco
9146.910000000002,34627.560000000005,Speros Goranitis
9557.620000000004,52368.74999999999,Stephanie Ulpright
11838.650000000003,57810.199999999975,Tracy Zic
11989.760000000002,54837.250000000015,Laura Armstrong
14555.140000000001,53774.8,Steven Roelle
14695.530000000004,66438.78,Deanra Eno
15310.99,57559.06999999999,Sharelle Roach-McGee
16085.959999999994,102789.29999999997,Mary O'Rourke
17158.86,113155.36999999998,Quincy Jones
17498.439999999995,97074.98,Rose O'Brian-Murray
19357.620000000003,113477.05,Ellis Ballard
19903.269999999993,107410.32,William Brown
20462.92,95573.91,Hilary Holden
20849.800000000007,87680.58000000002,Maurice Satty
20984.030000000006,174760.76999999996,Michael Oakman
21510.670000000002,118774.04,Lynn Smith-Reed
21647.109999999993,96377.6,Lena Cacioppo
24114.51000000001,85967.11,Jesus Ocampo
24772.260000000002,89654.85000000002,Nona Balk
24897.62,112737.11999999997,Debra Catini-Entman
25022.480000000007,111322.89000000003,Noel Staavos
28914.980000000003,103193.18,Sandra Glassco
38034.59000000001,180988.31000000008,Patrick O'Brill
42279.450000000004,162921.00000000003,Harold Pawlan
43676.84999999999,135912.16000000003,Rick Reed
47638.44999999999,168766.17,MaryBeth Skach
49538.85000000001,189081.55000000008,Naresj Patel
51555.909999999996,189179.19999999992,Yoseph Carroll-Englig
68192.85,186680.46999999997,Hallie Redmond
87528.14000000003,284242.1599999999,Shui Tom
