"Call_Center_Region","Customer_Balance","Customer_Name","Customer_Segment","Customer_State","Discount","Employee_Dept","Employee_Name","Employee_Salary","Employee_Yrs_Exp","Fill_Time","Gross_Profit","Item_Count","Manager_Name","Market_Segment","Order_Date","Order_Day","Order_ID","Order_Month","Order_Priority","Order_Quantity","Order_Quarter","Order_Status","Order_Year","PID","Price","Prod_TypeB","Prod_TypeC","Prod_TypeD","Prod_TypeE","Product_Base_Margin","Product_Container","Product_ID","Product_In_Stock","Product_Name","Receive_Time","Received_Date","Sales_Total","Ship_Charge","Ship_Date","Ship_Handle_Cost","Ship_Mode","Ship_Priority","Ship_Promo","Supplier_Balance","Supplier_Name","Supplier_Region","Supplier_State","Tax_Rate","Total_Cycle_Time","birst_constant_one","row"
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0","1074","Davis, Nancy","97952.0000","7","1","1094.17","1","Suzanne Lafrenière","HOME OFFICE","1997-06-05 00:00:00","5","34754","6","1-URGENT","44","Q2","F","1997","4118","40.9700","TECHNOLOGY","COMPUTER PERIPHERALS","MEDIA","DVD","0.42","SMALL PACK","594","YES","TDK 4.7GB DVD-R Spindle, 15/Pack","1","1997-06-07 00:00:00","1938.86","9.9900","1997-06-06 00:00:00","1.9900","EXPRESS AIR","0","FREE SHIPPING","9198","Supplier_025","EAST","DELAWARE","0.07","2","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0","1084","Doten, Dorothy","57081.0000","2","2","391.71","1","Rudisill, Martha","HOME OFFICE","2000-11-11 00:00:00","11","42368","11","1-URGENT","15","Q4","O","2000","35193","42.8000","OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES","HEAVY DUTY BINDERS","HEAVY DUTY BINDERS","0.36","SMALL BOX","1557","YES","Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets","3","2000-11-16 00:00:00","667.68","0.0000","2000-11-13 00:00:00","2.9900","REGULAR AIR","0","FREE SHIPPING","5873","Supplier_098","WEST","CALIFORNIA","0.04","5","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0","1098","Woods, Jayne Ann","72733.0000","7","2","9190.93","1","Stevenson, Carol","HOME OFFICE","2001-12-31 00:00:00","31","28391","12","4-NOT SPECIFIED","10","Q4","O","2001","45683","1360.9900","OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES","BINDING MACHINES","BINDING MACHINES","0.39","SMALL BOX","1453","YES","GBC DocuBind P400 Electric Binding System","13","2002-01-15 00:00:00","14698.69","0.0000","2002-01-02 00:00:00","19.9900","REGULAR AIR","0","FREE SHIPPING","8180","Supplier_071","WEST","WASHINGTON","0.08","15","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.01","1077","Jon Gustin","87301.0000","1","4","20.4","1","Michael J. Jacobs","HOME OFFICE","1999-11-03 00:00:00","3","21314","11","5-LOW","30","Q4","F","1999","26267","3.5800","OFFICE SUPPLIES","RUBBER BANDS","BINDER CLIPS","BINDER CLIPS","0.36","WRAP BAG","235","NO","OIC Colored Binder Clips, Assorted Sizes","4","1999-11-11 00:00:00","107.96","1.6300","1999-11-07 00:00:00","1.6300","REGULAR AIR","0","REGULAR SHIPPING","1688","Supplier_017","CENTRAL","OHIO","0","8","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.01","1077","Jon Gustin","87301.0000","1","2","281.51","1","Michael J. Jacobs","HOME OFFICE","1999-11-03 00:00:00","3","21314","11","5-LOW","44","Q4","F","1999","26268","180.9800","FURNITURE","BOOKCASES","WOODEN BOOKCASES","WOODEN BOOKCASES","0.62","JUMBO BOX","102","YES","O'Sullivan 2-Door Barrister Bookcase in Odessa Pine","-3","1999-11-02 00:00:00","8106.8","65.6400","1999-11-05 00:00:00","65.6400","DELIVERY TRUCK","0","REGULAR SHIPPING","4192","Supplier_003","WEST","WASHINGTON","0.02","-1","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.03","1074","Davis, Nancy","97952.0000","7","2","311.39","1","Suzanne Lafrenière","HOME OFFICE","1997-06-05 00:00:00","5","34754","6","1-URGENT","16","Q2","F","1997","4116","37.9400","OFFICE SUPPLIES","PAPER","WRITINGS PADS","MEMO SLIPS","0.38","WRAP BAG","1851","YES","Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate","5","1997-06-12 00:00:00","623.35","5.0800","1997-06-07 00:00:00","5.0800","REGULAR AIR","0","REGULAR SHIPPING","2512","Supplier_038","CENTRAL","TEXAS","0.05","7","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.03","1077","Jon Gustin","87301.0000","1","5","-47.6","1","Michael J. Jacobs","HOME OFFICE","1999-11-03 00:00:00","3","21314","11","5-LOW","7","Q4","F","1999","26269","52.9900","OFFICE SUPPLIES","STORAGE & ORGANIZATION","PLASTIC STORAGE","PLASTIC STORAGE","0.81","SMALL BOX","377","YES","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","9","1999-11-17 00:00:00","392.78","14.9900","1999-11-08 00:00:00","19.9900","EXPRESS AIR","0","REGULAR SHIPPING","1044","Supplier_078","WEST","ARIZONA","0.05","14","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.04","1077","Jon Gustin","87301.0000","1","2","-0.53","1","Michael J. Jacobs","HOME OFFICE","1999-11-03 00:00:00","3","21314","11","5-LOW","6","Q4","F","1999","26272","8.6000","OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES","BINDING SUPPLIES","BINDING SUPPLIES","0.38","SMALL BOX","1477","YES","Avery Printable Repositionable Plastic Tabs","1","1999-11-06 00:00:00","56.22","6.1900","1999-11-05 00:00:00","6.1900","REGULAR AIR","0","REGULAR SHIPPING","1688","Supplier_017","CENTRAL","OHIO","0.01","3","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.05","1062","Joan Payne","59439.0000","1","0","1547.24","1","Alok Kapoor","HOME OFFICE","1999-07-18 00:00:00","18","32070","7","3-MEDIUM","31","Q3","F","1999","23587","85.9900","TECHNOLOGY","TELEPHONES AND COMMUNICATION","WIRELESS AND CELLULAR","NOKIA","0.35","SMALL BOX","971","YES","Accessory12","2","1999-07-20 00:00:00","2557.73","0.0000","1999-07-18 00:00:00","2.5000","REGULAR AIR","0","FREE SHIPPING","-290","Supplier_040","EAST","DELAWARE","0.01","2","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.06","1062","Joan Payne","59439.0000","1","2","-17.03","1","Alok Kapoor","HOME OFFICE","1999-07-18 00:00:00","18","32070","7","3-MEDIUM","10","Q3","F","1999","23585","9.9800","TECHNOLOGY","COMPUTER PERIPHERALS","MEDIA","FLOPPY DISKS","0.79","SMALL PACK","613","YES","DS/HD IBM Formatted Diskettes, 25/Pack - Staples","5","1999-07-25 00:00:00","105.71","4.3900","1999-07-20 00:00:00","4.3900","REGULAR AIR","0","REGULAR SHIPPING","2971","Supplier_076","EAST","SOUTH CAROLINA","0.08","7","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.06","1093","Tom Delsey","60154.0000","1","1","55.12","1","Colleen Hurwitz","HOME OFFICE","1999-06-12 00:00:00","12","12673","6","1-URGENT","14","Q2","F","1999","22673","7.3100","OFFICE SUPPLIES","LABELS","STANDARD LABELS","STANDARD LABELS","0.38","SMALL BOX","486","YES","Avery 486","3","1999-06-16 00:00:00","101.01","0.0000","1999-06-13 00:00:00","0.5000","REGULAR AIR","0","FREE SHIPPING","4171","Supplier_074","EAST","NEW JERSEY","0.05","4","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.07","1062","Joan Payne","59439.0000","1","0","-192.38","1","Alok Kapoor","HOME OFFICE","1999-07-18 00:00:00","18","32070","7","3-MEDIUM","50","Q3","F","1999","23588","1.7600","FURNITURE","OFFICE FURNISHINGS","PLASTIC DESK SETS","PLASTIC DESK SETS","0.41","SMALL BOX","1266","YES","Regeneration Desk Collection","3","1999-07-21 00:00:00","86.7","4.8600","1999-07-18 00:00:00","4.8600","REGULAR AIR","0","REGULAR SHIPPING","6943","Supplier_041","CENTRAL","WISCONSIN","0","3","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.07","1077","Jon Gustin","87301.0000","1","7","-94.3","1","Michael J. Jacobs","HOME OFFICE","1999-11-03 00:00:00","3","21314","11","5-LOW","19","Q4","F","1999","26270","5.5800","OFFICE SUPPLIES","STORAGE & ORGANIZATION","PORTABLE STORAGE","PORTABLE STORAGE","0.59","MEDIUM BOX","383","NO","Plastic Stacking Crates & Casters","11","1999-11-21 00:00:00","114.17","7.6800","1999-11-10 00:00:00","7.6800","REGULAR AIR","0","REGULAR SHIPPING","5119","Supplier_068","WEST","CALIFORNIA","0.08","18","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.07","1082","Noel Staavos","44843.0000","1","2","4927.57","1","Bob Pennefather","HOME OFFICE","2001-01-04 00:00:00","4","50753","1","1-URGENT","43","Q1","O","2001","36628","297.6400","TECHNOLOGY","OFFICE MACHINES","PRINTERS","DOT MATRIX PRINTERS","0.57","JUMBO DRUM","764","NO","Panasonic KX-P3200 Dot Matrix Printer","23","2001-01-29 00:00:00","12854.83","0.0000","2001-01-06 00:00:00","14.7000","DELIVERY TRUCK","0","FREE SHIPPING","6097","Supplier_061","EAST","NEBRASKA","0.08","25","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.08","1077","Jon Gustin","87301.0000","1","7","-867.81","1","Michael J. Jacobs","HOME OFFICE","1999-11-03 00:00:00","3","21314","11","5-LOW","40","Q4","F","1999","26271","105.4900","FURNITURE","TABLES","MEETING ROOM TABLES","MEETING ROOM TABLES","0.75","JUMBO BOX","1310","YES","Balt Solid Wood Rectangular Table","7","1999-11-17 00:00:00","3962.49","41.6400","1999-11-10 00:00:00","41.6400","DELIVERY TRUCK","0","REGULAR SHIPPING","3393","Supplier_011","CENTRAL","WISCONSIN","0.01","14","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.08","1077","Jon Gustin","87301.0000","1","4","272","1","Michael J. Jacobs","HOME OFFICE","1999-11-03 00:00:00","3","21314","11","5-LOW","48","Q4","F","1999","26273","50.9800","TECHNOLOGY","COMPUTER PERIPHERALS","KEYBOARDS","CORDED KEYBOARDS","0.73","SMALL BOX","678","YES","Microsoft Natural Multimedia Keyboard","4","1999-11-11 00:00:00","2370.34","6.5000","1999-11-07 00:00:00","6.5000","REGULAR AIR","0","REGULAR SHIPPING","3892","Supplier_010","EAST","ALABAMA","0.05","8","",""
