min_Customer_Balance_ok,none_Customer_Name_nk
-987,Mathew Reese
-982,Elizabeth Moffitt
-982,Jas O'Carroll
-952,MaryBeth Skach
-949,Frank Olsen
-943,Rick Reed
-933,Steven Roelle
-932,Harold Pawlan
-923,Tonja Turnell
-920,Henia Zydlo
-920,Shui Tom
-902,Dave Hallsten
-897,Thomas Boland
-875,Deanra Eno
-868,Sarah Jordon-Smith
-859,Heather Jas-Hannaway
-849,Joseph Airdo
-842,Peter McVee
-808,Laura Armstrong
-774,Zyzzy Zzuyzyzyk
-762,Speros Goranitis
-729,Robert Marley
-716,Mary O'Rourke
-711,Yoseph Carroll-Englig
-655,Maxwell Schwartz
-652,Rose O'Brian-Murray
-647,Jim Sink
-614,Jack O'Briant
-611,Ellis Ballard
-593,Suzanne McNair
-588,Sandra Glassco
-574,Dario Medina
-567,Meg Tillman-Sachs
-565,Sue Ann Reed-Freeman
-556,Hilary Holden
-550,Mary Zewe
-545,Meg O'Connel
-526,Jane Waco
-501,Sheri Gordon
-488,Tanja Norvell
-425,Nona Balk
-396,Barbara Fisher
-377,Debra Catini-Entman
-331,Victor Price
-326,Sharelle Roach-McGee
-308,Grace Kelly
-304,Noel Staavos
-302,Roy Skaria
-271,Jasper Cacioppo
-259,Jennifer Patt
-234,David Flashing
-112,Hallie Redmond
-110,Lela Donovan
